lago,fecha,anio,mes,estacion,satelite,nubosidad_escena_pct,pixeles_lago,pixeles_validos,cobertura_valida_pct,pct_descartado_ndci,confiable,ndci_media,ndci_mediana,ndci_p90,chla_media,chla_mediana,chla_p90,ndvi_media,ndwi_media,fai_media,pct_chla_alto,pct_chla_severo,pct_nata,umbral_pico,es_pico
amatitlan,2025-01-28,2025,1,Seca,S2B,0.06,13360,13360,100.0,0.0,True,0.2424838095903396,0.2434782534837722,0.323383092880249,11.755279541015623,10.16856575012207,19.7180290222168,-0.3785454928874969,0.614081084728241,0.0005661054165102,51.48203592814371,4.199101796407185,0.0,0.3182903270708754,False
amatitlan,2025-04-15,2025,4,Seca,S2A,0.09,13360,13360,100.0,0.0,True,0.0399105660617351,0.037467822432518,0.0642438754439354,4.580363750457764,4.578686237335205,4.782625198364258,-0.1627187430858612,0.34947070479393,-0.002092988230288,0.0748502994011976,0.0149700598802395,0.0,0.3182903270708754,False
amatitlan,2025-04-28,2025,4,Seca,S2B,1.03,13360,13360,100.0,0.0,True,0.0712711587548255,0.0690877810120582,0.1123771592974662,4.859519958496094,4.814119338989258,5.1511406898498535,-0.1858215630054474,0.41309654712677,-0.0017319659236818,0.187125748502994,0.0149700598802395,0.0,0.3182903270708754,False
amatitlan,2025-11-24,2025,11,Seca,S2B,0.5,13360,13360,100.0,0.0,True,0.2431001961231231,0.2233859598636627,0.4135984480381012,18.47027969360352,8.725229263305664,40.22982406616211,-0.2983584403991699,0.4758288264274597,0.0034679658710956,45.65119760479042,19.715568862275447,0.718562874251497,0.3182903270708754,False
amatitlan,2026-01-08,2026,1,Seca,S2C,0.77,13360,13360,100.0,0.0,True,0.3332968354225158,0.3266682922840118,0.487388402223587,31.48943519592285,20.264272689819336,67.11940002441406,0.0254516694694757,0.2582837045192718,0.0084258988499641,77.40269461077844,41.27994011976048,1.526946107784431,0.3182903270708754,True
amatitlan,2026-02-02,2026,2,Seca,S2B,0.39,13360,12332,92.31,0.0,True,0.0760901346802711,0.0734578594565391,0.1190476417541503,4.8924665451049805,4.842311382293701,5.227054595947266,-0.0482883714139461,0.1501831710338592,-8.079760300461203e-05,0.0324359390204346,0.0,0.0,0.3182903270708754,False
amatitlan,2026-02-07,2026,2,Seca,S2C,0.02,13360,13359,100.0,0.01,True,0.1642984598875045,0.1630434989929199,0.231638416647911,6.923568248748779,6.061287879943848,9.278873443603516,-0.6350085735321045,0.6530464291572571,-0.0017637667478993,7.799985028819522,0.4940489557601617,0.0,0.3182903270708754,False
amatitlan,2026-03-29,2026,3,Seca,S2C,0.01,13360,13360,100.0,0.0,True,0.2478282153606414,0.2259371876716613,0.42185840010643,16.102764129638672,8.890767097473145,42.74345779418945,-0.0407674647867679,0.3087148368358612,0.006454886868596,44.09431137724551,16.00299401197605,0.0,0.3182903270708754,False
amatitlan,2026-04-13,2026,4,Seca,S2B,0.09,13360,13360,100.0,0.0,True,0.2917415499687195,0.2859357595443725,0.3387027978897095,16.25235366821289,14.402461051940918,22.383455276489254,-0.0358456149697303,0.3207532465457916,0.0104944631457328,94.498502994012,7.791916167664671,0.0,0.3182903270708754,False
amatitlan,2026-04-28,2026,4,Seca,S2C,4.96,13360,12350,92.44,0.0,True,0.1003330200910568,0.0912678837776184,0.1412103623151779,5.271563053131104,4.963854789733887,5.563363075256348,-0.2238548696041107,0.5262402892112732,-0.0001131749668275,1.408906882591093,0.0890688259109311,0.0080971659919028,0.3182903270708754,False
amatitlan,2026-06-19,2026,6,Lluviosa,S2A,13.0,13360,13360,100.0,0.0,True,0.4163912534713745,0.4136559963226318,0.5550998449325562,51.39196014404297,40.24692916870117,101.63510131835938,-0.2795421779155731,0.6243244409561157,0.0063790222629904,93.80239520958084,73.7874251497006,0.3967065868263473,0.3182903270708754,True
atitlan,2025-01-18,2025,1,Seca,S2B,0.02,232068,54463,100.0,76.53,False,-0.1917266398668289,-0.25,0.3749999701976776,15.239095687866213,0.0,29.974178314208984,0.3076382279396057,0.7464901804924011,0.0004055353056173,15.95945871509098,10.177551732368764,0.0,0.0032196251157549684,False
atitlan,2025-04-13,2025,4,Seca,S2C,0.54,232068,232067,100.0,0.0,True,-0.0322687402367591,-0.0285714175552129,0.006410245783627,3.050118923187256,3.364840269088745,4.185762882232666,-0.0443344376981258,0.3613607883453369,-0.0002263801143271,0.017236401556447,0.0051709204669341,0.0,0.0032196251157549684,False
atitlan,2025-05-13,2025,5,Lluviosa,S2C,4.37,232068,232068,100.0,0.0,True,-0.0157194901257753,-0.0099999830126762,0.0337078608572483,3.4783315658569336,3.862530946731568,4.5426435470581055,-0.0693238154053688,0.379841148853302,0.0001450449781259,0.0180981436475515,0.0030163572745919,0.0,0.0032196251157549684,False
atitlan,2025-07-17,2025,7,Lluviosa,S2A,3.57,232068,231756,100.0,0.13,True,0.0092317126691341,0.0123456576839089,0.0841121301054954,4.1019606590271,4.2802324295043945,4.912790775299072,-0.048013512045145,0.4011353850364685,0.0011585629545152,0.7995478002727007,0.3024732908748856,0.0,0.0032196251157549684,True
atitlan,2025-11-21,2025,11,Seca,S2A,3.15,232068,223600,99.99,3.64,True,-0.0687526538968086,-0.0476190187036991,0.1887270212173462,4.606491565704346,2.6769185066223145,6.929008483886719,-0.1409375965595245,0.75980544090271,0.0002712086716201,6.327817531305903,2.357334525939177,0.0,0.0032196251157549684,False
atitlan,2025-12-29,2025,12,Seca,S2C,3.17,232068,223070,99.94,3.81,True,-0.0875029191374778,-0.0731707215309143,0.0985915437340736,2.606502056121826,1.4123470783233645,5.021422386169434,-0.0007806277135387,0.5617015361785889,-0.0001654283405514,1.6842246828349845,0.473394001882817,0.0,0.0032196251157549684,False
atitlan,2026-02-12,2026,2,Seca,S2B,0.04,232068,205179,100.0,11.59,True,-0.0591958351433277,-0.0333333536982536,0.1228070184588432,3.332303524017334,3.2110190391540527,5.274401664733887,-0.0797182396054267,0.6300357580184937,0.0005786461406387,2.0109270441906824,0.6058124856832328,0.0,0.0032196251157549684,False
atitlan,2026-03-24,2026,3,Seca,S2B,3.17,232068,232068,100.0,0.0,True,-0.0143699655309319,-0.011363617144525,0.039603941142559,3.440843105316162,3.8310956954956055,4.598093986511231,-0.1277349591255188,0.460400640964508,0.0007963136886246,0.0297326645638347,0.0124963372804522,0.0,0.0032196251157549684,False
atitlan,2026-04-13,2026,4,Seca,S2B,0.01,232068,232038,100.0,0.01,True,0.0041541643440723,0.0095693618059158,0.0544217750430107,3.8959572315216064,4.237386226654053,4.715704441070557,-0.0265777334570884,0.2429848164319992,0.0009522309410385,0.0680922952275058,0.0142218084968841,0.0,0.0032196251157549684,True
