lago,n_fechas,r_ndvi_fecha,p_ndvi_fecha,r_ndwi_fecha,p_ndwi_fecha
atitlan,10,0.1273,0.7261,-0.7442,0.0136
amatitlan,11,0.0382,0.9113,0.4111,0.2091
