lago,fechas,ndci_medio,chla_mediana,chla_p90_max,pct_lago_afectado,fechas_con_floracion
amatitlan,11,0.2,8.73,101.64,37.86,6
atitlan,10,-0.03,3.72,6.93,1.13,0
