lago,n_pixeles,pearson_ndci_ndvi,pearson_ndci_ndwi,spearman_ndci_ndvi,spearman_ndci_ndwi,p_ndvi,p_ndwi
atitlan,2484795,0.4939,-0.3722,0.4421,-0.2866,0.0,0.0
amatitlan,337969,0.3915,-0.1791,0.3865,-0.1223,0.0,0.0
