lago,fecha,anio,mes,estacion,satelite,nubosidad_escena_pct,pixeles_lago,pixeles_validos,cobertura_valida_pct,pct_descartado_ndci,confiable,ndci_media,ndci_mediana,ndci_p90,chla_media,chla_mediana,chla_p90,ndvi_media,ndwi_media,fai_media,pct_chla_alto,pct_chla_severo,pct_nata
amatitlan,2025-01-28,2025,1,Seca,S2B,0.06,13360,13360,100.0,0.0,True,0.24248380959033966,0.24347825348377228,0.323383092880249,11.755279541015625,10.16856575012207,19.718029022216797,-0.37854549288749695,0.614081084728241,0.0005661054165102541,51.48203592814371,4.199101796407185,0.0
amatitlan,2025-04-15,2025,4,Seca,S2A,0.09,13360,13360,100.0,0.0,True,0.03991056606173515,0.037467822432518005,0.0642438754439354,4.580363750457764,4.578686237335205,4.782625198364258,-0.1627187430858612,0.34947070479393005,-0.0020929882302880287,0.07485029940119761,0.014970059880239521,0.0
amatitlan,2025-04-28,2025,4,Seca,S2B,1.03,13360,13360,100.0,0.0,True,0.07127115875482559,0.06908778101205826,0.11237715929746628,4.859519958496094,4.814119338989258,5.1511406898498535,-0.1858215630054474,0.41309654712677,-0.0017319659236818552,0.18712574850299402,0.014970059880239521,0.0
amatitlan,2025-11-24,2025,11,Seca,S2B,0.5,13360,13360,100.0,0.0,True,0.24310019612312317,0.22338595986366272,0.4135984480381012,18.470279693603516,8.725229263305664,40.22982406616211,-0.2983584403991699,0.4758288264274597,0.0034679658710956573,45.65119760479042,19.715568862275447,0.718562874251497
amatitlan,2026-01-08,2026,1,Seca,S2C,0.77,13360,13360,100.0,0.0,True,0.33329683542251587,0.32666829228401184,0.48738840222358704,31.48943519592285,20.264272689819336,67.11940002441406,0.025451669469475746,0.25828370451927185,0.008425898849964142,77.40269461077844,41.279940119760475,1.526946107784431
amatitlan,2026-02-02,2026,2,Seca,S2B,0.39,13360,12332,92.31,0.0,True,0.07609013468027115,0.07345785945653915,0.11904764175415039,4.8924665451049805,4.842311382293701,5.227054595947266,-0.04828837141394615,0.15018317103385925,-8.079760300461203e-05,0.03243593902043464,0.0,0.0
amatitlan,2026-02-07,2026,2,Seca,S2C,0.02,13360,13359,100.0,0.01,True,0.16429845988750458,0.16304349899291992,0.23163841664791107,6.923568248748779,6.061287879943848,9.278873443603516,-0.6350085735321045,0.6530464291572571,-0.0017637667478993535,7.799985028819522,0.4940489557601617,0.0
amatitlan,2026-03-29,2026,3,Seca,S2C,0.01,13360,13360,100.0,0.0,True,0.24782821536064148,0.22593718767166138,0.42185840010643005,16.102764129638672,8.890767097473145,42.74345779418945,-0.04076746478676796,0.3087148368358612,0.006454886868596077,44.09431137724551,16.00299401197605,0.0
amatitlan,2026-04-13,2026,4,Seca,S2B,0.09,13360,13360,100.0,0.0,True,0.2917415499687195,0.28593575954437256,0.3387027978897095,16.25235366821289,14.402461051940918,22.383455276489258,-0.03584561496973038,0.3207532465457916,0.01049446314573288,94.49850299401199,7.791916167664671,0.0
amatitlan,2026-04-28,2026,4,Seca,S2C,4.96,13360,12350,92.44,0.0,True,0.10033302009105682,0.09126788377761841,0.14121036231517792,5.2715630531311035,4.963854789733887,5.563363075256348,-0.22385486960411072,0.5262402892112732,-0.00011317496682750061,1.408906882591093,0.08906882591093117,0.008097165991902834
amatitlan,2026-06-19,2026,6,Lluviosa,S2A,13.0,13360,13360,100.0,0.0,True,0.4163912534713745,0.41365599632263184,0.5550998449325562,51.39196014404297,40.24692916870117,101.63510131835938,-0.2795421779155731,0.6243244409561157,0.006379022262990475,93.80239520958084,73.7874251497006,0.3967065868263473
atitlan,2025-01-18,2025,1,Seca,S2B,0.02,232068,54463,100.0,76.53,False,-0.19172663986682892,-0.25,0.3749999701976776,15.239095687866211,0.0,29.974178314208984,0.3076382279396057,0.7464901804924011,0.00040553530561737716,15.95945871509098,10.177551732368764,0.0
atitlan,2025-04-13,2025,4,Seca,S2C,0.54,232068,232067,100.0,0.0,True,-0.032268740236759186,-0.028571417555212975,0.006410245783627033,3.050118923187256,3.364840269088745,4.185762882232666,-0.04433443769812584,0.3613607883453369,-0.00022638011432718486,0.01723640155644706,0.005170920466934118,0.0
atitlan,2025-05-13,2025,5,Lluviosa,S2C,4.37,232068,232068,100.0,0.0,True,-0.015719490125775337,-0.009999983012676239,0.033707860857248306,3.4783315658569336,3.8625309467315674,4.5426435470581055,-0.0693238154053688,0.379841148853302,0.00014504497812595218,0.01809814364755158,0.0030163572745919302,0.0
atitlan,2025-07-17,2025,7,Lluviosa,S2A,3.57,232068,231756,100.0,0.13,True,0.00923171266913414,0.01234565768390894,0.08411213010549545,4.1019606590271,4.2802324295043945,4.912790775299072,-0.048013512045145035,0.4011353850364685,0.0011585629545152187,0.7995478002727007,0.30247329087488567,0.0
atitlan,2025-11-21,2025,11,Seca,S2A,3.15,232068,223600,99.99,3.64,True,-0.06875265389680862,-0.04761901870369911,0.1887270212173462,4.606491565704346,2.6769185066223145,6.929008483886719,-0.14093759655952454,0.75980544090271,0.00027120867162011564,6.327817531305903,2.357334525939177,0.0
atitlan,2025-12-29,2025,12,Seca,S2C,3.17,232068,223070,99.94,3.81,True,-0.08750291913747787,-0.0731707215309143,0.09859154373407364,2.606502056121826,1.4123470783233643,5.021422386169434,-0.0007806277135387063,0.5617015361785889,-0.0001654283405514434,1.6842246828349845,0.47339400188281705,0.0
atitlan,2026-02-12,2026,2,Seca,S2B,0.04,232068,205179,100.0,11.59,True,-0.05919583514332771,-0.03333335369825363,0.12280701845884323,3.332303524017334,3.2110190391540527,5.274401664733887,-0.07971823960542679,0.6300357580184937,0.0005786461406387389,2.0109270441906824,0.6058124856832328,0.0
atitlan,2026-03-24,2026,3,Seca,S2B,3.17,232068,232068,100.0,0.0,True,-0.01436996553093195,-0.011363617144525051,0.03960394114255905,3.440843105316162,3.8310956954956055,4.5980939865112305,-0.1277349591255188,0.46040064096450806,0.0007963136886246502,0.029732664563834735,0.012496337280452281,0.0
atitlan,2026-04-13,2026,4,Seca,S2B,0.01,232068,232038,100.0,0.01,True,0.004154164344072342,0.009569361805915833,0.05442177504301071,3.8959572315216064,4.237386226654053,4.715704441070557,-0.02657773345708847,0.2429848164319992,0.0009522309410385787,0.06809229522750584,0.014221808496884132,0.0
